,2014,2015,2016,2017,2018,2019,2020,2021,2022
Debit Cards in Use in million #,301.6,307.3,311.5,316.5,320.9,323.9,326.7,329.3,331.5
Credit Cards in Use in billion #,0.95,1,1.02,1.04,1.06,1.07,1.08,1.09,1.09
